Period,Facility,Facility Code,Males,Females
23-Nov,Imbeza - 100630 - Clinic,p.zw.100630,0.0,2.0
23-Nov,Jombe - 100670 - Clinic,p.zw.100670,15.0,39.0
23-Nov,Katiyo - 100721 - Private-Tanganda,p.zw.100721,5.0,21.0
23-Nov,Mandeya 11 - 101912 - Clinic,p.zw.101912,4.0,15.0
23-Nov,Mapara - 100886 - Clinic,p.zw.100886,1.0,17.0
23-Nov,Moyoweshumba - 101039 - Council Clinic,p.zw.101039,12.0,22.0
23-Nov,Mt. Jenya - 101060 - Council Clinic,p.zw.101060,6.0,8.0
23-Nov,Mupotedzi - 101120 - Gvt Clinic,p.zw.101120,6.0,21.0
23-Nov,Mutasa - 101169 - Council Clinic,p.zw.101169,16.0,34.0
23-Nov,Ngarura - 101250 - Council Clinic,p.zw.101250,6.0,46.0
23-Nov,Nyanga Pines - 101363 - Clinic,p.zw.101363,10.0,14.0
23-Nov,Old Mutare - 101397 - Mission Hospital,p.zw.101397,34.0,116.0
23-Nov,Premier - 101423 - Clinic,p.zw.101423,14.0,19.0
23-Nov,Red Wing - 101445 - Private-Mine,p.zw.101445,1.0,7.0
23-Nov,Rupinda - 101474 - Rural Health Centre,p.zw.101474,9.0,26.0
23-Nov,Sachisuko - 101916 - Clinic,p.zw.101916,4.0,20.0
23-Nov,Sadziwa - 101505 - Council Clinic,p.zw.101505,3.0,21.0
23-Nov,Sagambe - 101507 - Council Clinic,p.zw.101507,9.0,26.0
23-Nov,Sahumani - 101508 - Council Clinic,p.zw.101508,1.0,5.0
23-Nov,Sakupwanya - 101512 - Council Clinic,p.zw.101512,20.0,48.0
23-Nov,Samanga - 101515 - Council clinic,p.zw.101515,10.0,13.0
23-Nov,Samaringa - 101516 - Council clinic,p.zw.101516,6.0,24.0
23-Nov,Sheba Border Timbers - 101559 - Private Clinic,p.zw.101559,4.0,8.0
23-Nov,Sherukuru - 101560 - Rural Health Centre,p.zw.101560,44.0,43.0
23-Nov,St. Augustine's - 101627 - Mission Clinic,p.zw.101627,38.0,78.0
23-Nov,St. Barbara's - 101628 - Mission Hospitals,p.zw.101628,4.0,21.0
23-Nov,St. Peter's Mandeya - 101639 - Mission Hospital,p.zw.101639,13.0,38.0
23-Nov,Triashill - 101706 - Mission Hospitals,p.zw.101706,16.0,18.0
23-Nov,Tsonzo - 101714 - Rural Hospital,p.zw.101714,16.0,49.0
23-Nov,Tsvingwe Clinic,p.zw.100021,32.0,136.0
23-Nov,Zindi - 101807 - Clinic,p.zw.101807,19.0,73.0
23-Nov,Zongoro - 101814 - Council Clinic,p.zw.101814,21.0,52.0
23-Dec,Bonda - 100080 - Mission Hospital,p.zw.100080,17.0,53.0
23-Dec,Chavhanga - 100145 - Rural Health Centre,p.zw.100145,3.0,16.0
23-Dec,Chinaka Health Post,p.zw.100022,5.0,10.0
23-Dec,Chinamasa - 100218 - Rural Health Centre,p.zw.100218,7.0,13.0
23-Dec,Chitombo - 100295 - Council Clinic,p.zw.100295,8.0,22.0
23-Dec,Drenane Timbers - 100419 - Private Clinic,p.zw.100419,1.0,4.0
23-Dec,EHPL 6 - 100437 - Clinic,p.zw.100437,7.0,18.0
23-Dec,Gatsi - 100493 - Mission Clinic,p.zw.100493,6.0,21.0
23-Dec,Guta - 100555 - Council Clinic,p.zw.100555,4.0,11.0
23-Dec,Haparare - 100581 - Council Clinic,p.zw.100581,2.0,8.0
23-Dec,Hauna - 100586 - District Hospital,p.zw.100586,38.0,170.0
23-Dec,Hauna - 101855 - Clinic,p.zw.101855,19.0,108.0
23-Dec,Honde - 100607 - Mission Hospital,p.zw.100607,10.0,18.0
23-Dec,Imbeza - 100630 - Clinic,p.zw.100630,2.0,2.0
23-Dec,Jombe - 100670 - Clinic,p.zw.100670,7.0,18.0
23-Dec,Katiyo - 100721 - Private-Tanganda,p.zw.100721,5.0,17.0
23-Dec,Mandeya 11 - 101912 - Clinic,p.zw.101912,2.0,12.0
23-Dec,Mapara - 100886 - Clinic,p.zw.100886,1.0,8.0
23-Dec,Moyoweshumba - 101039 - Council Clinic,p.zw.101039,15.0,25.0
23-Dec,Mt. Jenya - 101060 - Council Clinic,p.zw.101060,3.0,3.0
23-Dec,Mupotedzi - 101120 - Gvt Clinic,p.zw.101120,5.0,6.0
23-Dec,Mutasa - 101169 - Council Clinic,p.zw.101169,15.0,29.0
23-Dec,Ngarura - 101250 - Council Clinic,p.zw.101250,10.0,32.0
23-Dec,Nyanga Pines - 101363 - Clinic,p.zw.101363,8.0,21.0
23-Dec,Old Mutare - 101397 - Mission Hospital,p.zw.101397,14.0,80.0
23-Dec,Premier - 101423 - Clinic,p.zw.101423,10.0,10.0
23-Dec,Red Wing - 101445 - Private-Mine,p.zw.101445,0.0,6.0
23-Dec,Rupinda - 101474 - Rural Health Centre,p.zw.101474,10.0,29.0
23-Dec,Sachisuko - 101916 - Clinic,p.zw.101916,5.0,19.0
23-Dec,Sadziwa - 101505 - Council Clinic,p.zw.101505,2.0,11.0
23-Dec,Sagambe - 101507 - Council Clinic,p.zw.101507,19.0,38.0
23-Dec,Sahumani - 101508 - Council Clinic,p.zw.101508,8.0,9.0
23-Dec,Sakupwanya - 101512 - Council Clinic,p.zw.101512,10.0,36.0
23-Dec,Samanga - 101515 - Council clinic,p.zw.101515,5.0,20.0
23-Dec,Samaringa - 101516 - Council clinic,p.zw.101516,24.0,3.0
23-Dec,Sheba Border Timbers - 101559 - Private Clinic,p.zw.101559,3.0,8.0
23-Dec,Sherukuru - 101560 - Rural Health Centre,p.zw.101560,10.0,50.0
23-Dec,St. Augustine's - 101627 - Mission Clinic,p.zw.101627,42.0,55.0
23-Dec,St. Barbara's - 101628 - Mission Hospitals,p.zw.101628,10.0,15.0
23-Dec,St. Peter's Mandeya - 101639 - Mission Hospital,p.zw.101639,5.0,31.0
23-Dec,Triashill - 101706 - Mission Hospitals,p.zw.101706,0.0,0.0
23-Dec,Tsonzo - 101714 - Rural Hospital,p.zw.101714,20.0,49.0
23-Dec,Tsvingwe Clinic,p.zw.100021,43.0,110.0
23-Dec,Zindi - 101807 - Clinic,p.zw.101807,21.0,48.0
23-Dec,Zongoro - 101814 - Council Clinic,p.zw.101814,11.0,39.0
